position,speed,acceleration
26981.6,1.8,-24.6
26981.6,-0.8,-87.6
26981.4,-2.8,-73.8
26981.4,-1.8,31.6
26981.4,0.8,94.6
26981.6,2.8,71.4
26981.6,1.8,-40.8
26981.6,-1.2,-101.2
26981.4,-3.2,-69.8
26981.4,-2.0,45.2
26981.4,1.2,109.4
26981.6,3.2,73.8
26981.6,2.0,-49.2
26981.6,-1.2,-117.6
26981.4,-3.4,-78.0
26981.4,-2.2,46.6
26981.4,1.2,123.2
26981.6,3.6,90.2
26981.8,4.8,-61.8
26981.8,1.4,-145.2
26981.6,-1.4,-119.2
26981.4,-0.4,12.2
26981.2,3.6,216.2
26981.2,4.4,224.6
26981.2,4.0,91.8
26981.2,0.8,-116.2
26981.2,-6.4,-249.0
26979.8,-49.0,-1352.0
26974.2,-188.6,-4832.2
26968.8,-325.4,-8308.2
26945.8,-690.6,-11874.4
26909.8,-1147.2,-15145.0
26859.8,-1660.4,-17426.2
26795.6,-2167.8,-17211.2
26710.6,-2772.8,-17116.8
26619.8,-3240.6,-16710.4
26516.4,-3697.6,-16321.8
26401.2,-4115.2,-14911.0
26276.2,-4464.6,-12483.4
26144.0,-4723.2,-9237.2
26007.0,-4889.8,-5947.4
25867.6,-4972.6,-2953.2
25727.4,-5001.6,-1038.6
25587.2,-5007.2,-197.0
25447.0,-5004.0,113.6
25307.2,-4999.4,165.6
25167.4,-4998.4,34.2
25027.6,-4997.6,28.6
24887.8,-4993.8,134.0
24748.0,-4992.6,41.0
24608.0,-4993.8,-46.6
24468.2,-4992.4,50.6
24328.4,-4992.4,2.8
24188.6,-4992.2,6.8
24048.8,-4992.4,-4.2
23909.0,-4992.6,-4.2
23769.0,-4995.0,-90.4
23657.0,-4997.0,-119.2
23517.0,-4999.8,-193.0
23377.0,-5000.8,-132.8
23237.0,-5002.8,-162.8
23097.0,-5003.8,-127.2
22929.0,-5006.0,-125.8
22789.0,-5006.2,-8.2
22648.8,-5007.4,-39.8
22508.6,-5008.6,-44.0
22368.4,-5008.8,-7.0
22228.2,-5007.4,49.2
22088.0,-5005.6,67.0
21948.0,-5003.4,76.6
21808.0,-5001.4,69.8
21668.0,-4998.8,94.4
21528.0,-4998.2,25.8
21388.0,-4999.4,-45.2
21248.0,-4999.4,-4.0
21108.0,-4996.4,109.6
20968.2,-4996.0,13.8
20828.4,-4994.0,70.0
20688.6,-4994.2,-10.8
20576.8,-4995.8,-134.0
20437.0,-4997.4,-214.8
20297.0,-4995.8,-102.6
20157.2,-4996.8,-194.2
20017.4,-4994.6,-73.8
19849.6,-4994.6,-80.6
19709.8,-4996.2,-58.6
19570.0,-4999.4,-116.0
19429.8,-5000.4,-36.8
19289.6,-5004.2,-135.4
19149.4,-5005.6,-45.2
19009.2,-5006.2,-19.2
18868.8,-5008.6,-83.6
18728.6,-5008.6,-1.4
18588.4,-5008.2,13.8
18448.2,-5006.8,52.2
18308.0,-5007.0,-8.2
18168.0,-5003.6,120.4
18028.0,-5005.2,-52.0
17887.8,-5004.0,39.6
17775.6,-5004.0,46.4
17663.4,-5003.2,75.2
17551.2,-5003.8,34.2
17411.2,-5000.6,177.8
17271.4,-4997.8,169.6
17103.6,-4996.4,61.4
16963.8,-4995.0,6.6
16796.0,-4994.2,2.6
16656.0,-4993.4,-5.6
16516.0,-4995.2,-104.2
16376.2,-4994.8,-16.6
16208.4,-4993.8,61.4
16068.6,-4991.8,69.6
15929.0,-4992.0,-11.0
15789.4,-4991.8,11.0
15649.4,-4995.0,-117.6
15509.4,-4997.8,-101.0
15369.4,-5001.4,-127.0
15229.2,-5004.4,-103.8
15117.0,-5006.4,-95.6
14977.0,-5005.6,-45.0
14836.8,-5006.6,-109.4
14696.6,-5008.8,-147.8
